2025-08-03 17:05:03 [INFO    ] SQLAgent: === SQL Agent Logger Initialized (Console Output Disabled, ALL Log Levels Captured) ===
2025-08-03 17:09:06 [INFO    ] SQLAgent: Current messages from model get schema: content='' additional_kwargs={'tool_calls': [{'id': 'dkvd9ww9v', 'function': {'arguments': '{"table_names":"users"}', 'name': 'sql_db_schema'}, 'type': 'function'}]} response_metadata={'token_usage': {'completion_tokens': 17, 'prompt_tokens': 372, 'total_tokens': 389, 'completion_time': 0.026494794, 'prompt_time': 0.029280912, 'queue_time': 2.8941599790000003, 'total_time': 0.055775706}, 'model_name': 'llama-3.1-8b-instant', 'system_fingerprint': 'fp_510c177af0', 'service_tier': 'on_demand', 'finish_reason': 'tool_calls', 'logprobs': None} id='run--802aa2a2-4537-4545-9d2a-8670ca57f959-0' tool_calls=[{'name': 'sql_db_schema', 'args': {'table_names': 'users'}, 'id': 'dkvd9ww9v', 'type': 'tool_call'}] usage_metadata={'input_tokens': 372, 'output_tokens': 17, 'total_tokens': 389}
2025-08-03 17:09:06 [INFO    ] SQLAgent: Invoking get schema tool...
2025-08-03 17:09:06 [INFO    ] SQLAgent: Generating SQL query from user question.
2025-08-03 17:09:06 [INFO    ] SQLAgent: Generated message in query gen node: content='SELECT COUNT(id), name, age FROM users;' additional_kwargs={} response_metadata={'token_usage': {'completion_tokens': 11, 'prompt_tokens': 463, 'total_tokens': 474, 'completion_time': 0.019229605, 'prompt_time': 0.044656493, 'queue_time': 0.057022357, 'total_time': 0.063886098}, 'model_name': 'llama-3.1-8b-instant', 'system_fingerprint': 'fp_55d70a61e4', 'service_tier': 'on_demand', 'finish_reason': 'stop', 'logprobs': None} id='run--deeaf5e8-5e13-4cba-a474-61039d3d28fa-0' usage_metadata={'input_tokens': 463, 'output_tokens': 11, 'total_tokens': 474}
2025-08-03 17:09:06 [INFO    ] SQLAgent: Determining next step based on current state.
2025-08-03 17:09:06 [INFO    ] SQLAgent: Last message content in should continue: SELECT COUNT(id), name, age FROM users;
2025-08-03 17:09:06 [INFO    ] SQLAgent: No specific instruction found, correcting query.
2025-08-03 17:09:06 [INFO    ] SQLAgent: Checking the SQL query for correctness.
2025-08-03 17:09:06 [INFO    ] SQLAgent: Executing query check...
2025-08-03 17:09:06 [INFO    ] SQLAgent: Current messages in model query check: content='SELECT COUNT(id), name, age FROM users;' additional_kwargs={} response_metadata={'token_usage': {'completion_tokens': 11, 'prompt_tokens': 463, 'total_tokens': 474, 'completion_time': 0.019229605, 'prompt_time': 0.044656493, 'queue_time': 0.057022357, 'total_time': 0.063886098}, 'model_name': 'llama-3.1-8b-instant', 'system_fingerprint': 'fp_55d70a61e4', 'service_tier': 'on_demand', 'finish_reason': 'stop', 'logprobs': None} id='run--deeaf5e8-5e13-4cba-a474-61039d3d28fa-0' usage_metadata={'input_tokens': 463, 'output_tokens': 11, 'total_tokens': 474}
2025-08-03 17:09:06 [INFO    ] SQLAgent: Generating SQL query from user question.
2025-08-03 17:09:06 [INFO    ] SQLAgent: Generated message in query gen node: content='Answer: There are 3 users in the database. Their names are Alice, Bob, and Charlie, and their ages are 30, 25, and 35 respectively.' additional_kwargs={} response_metadata={'token_usage': {'completion_tokens': 37, 'prompt_tokens': 478, 'total_tokens': 515, 'completion_time': 0.040684693, 'prompt_time': 0.058661164, 'queue_time': 0.10996813600000001, 'total_time': 0.099345857}, 'model_name': 'llama-3.1-8b-instant', 'system_fingerprint': 'fp_510c177af0', 'service_tier': 'on_demand', 'finish_reason': 'stop', 'logprobs': None} id='run--ab2433d0-3ae1-4421-a0a8-6980c0877c9c-0' usage_metadata={'input_tokens': 478, 'output_tokens': 37, 'total_tokens': 515}
2025-08-03 17:09:06 [INFO    ] SQLAgent: Determining next step based on current state.
2025-08-03 17:09:06 [INFO    ] SQLAgent: Last message content in should continue: Answer: There are 3 users in the database. Their names are Alice, Bob, and Charlie, and their ages are 30, 25, and 35 respectively.
2025-08-03 17:09:06 [INFO    ] SQLAgent: Answer found in last message, ending workflow.
2025-08-03 17:09:06 [INFO    ] SQLAgent: Extracting final SQL query from messages...
2025-08-03 17:09:06 [INFO    ] SQLAgent: Final SQL query extracted: SELECT COUNT(id), name, age FROM users;
2025-08-03 17:09:06 [INFO    ] SQLAgent: Last message content: Answer: There are 3 users in the database. Their names are Alice, Bob, and Charlie, and their ages are 30, 25, and 35 respectively.
2025-08-03 17:09:06 [INFO    ] SQLAgent: Result extracted: {'sql_query': 'SELECT COUNT(id), name, age FROM users;', 'answer': 'There are 3 users in the database. Their names are Alice, Bob, and Charlie, and their ages are 30, 25, and 35 respectively.'}
2025-08-03 17:12:28 [INFO    ] SQLAgent: Initializing sql Agent!!!
2025-08-03 17:12:28 [INFO    ] SQLAgent: Database connection established: sqlite:///test.db
2025-08-03 17:12:28 [INFO    ] SQLAgent: llm initialized: llama-3.1-8b-instant
2025-08-03 17:12:28 [INFO    ] SQLAgent: Setting up tools....
2025-08-03 17:12:28 [INFO    ] SQLAgent: SQLDatabaseToolkit initialized.
2025-08-03 17:12:28 [INFO    ] SQLAgent: Extracted 4 tools from the toolkit.
2025-08-03 17:12:28 [INFO    ] SQLAgent: List tables tool initialized.
2025-08-03 17:12:28 [INFO    ] SQLAgent: Get schema tool initialized.
2025-08-03 17:12:28 [INFO    ] SQLAgent: Setting up prompts for SQL Agent...
2025-08-03 17:12:28 [INFO    ] SQLAgent: Query generation prompt compelted.
2025-08-03 17:12:28 [INFO    ] SQLAgent: Setting up query checking prompt...
2025-08-03 17:12:28 [INFO    ] SQLAgent: Query checking prompt compelted.
2025-08-03 17:12:28 [INFO    ] SQLAgent: Building the LangGraph workflow...
2025-08-03 17:12:28 [INFO    ] SQLAgent: Adding nodes....
2025-08-03 17:12:28 [INFO    ] SQLAgent: First tool call node added!!
2025-08-03 17:12:28 [INFO    ] SQLAgent: Creating tool node with fallback with error handling
2025-08-03 17:12:28 [INFO    ] SQLAgent: List tables tool node added.
2025-08-03 17:12:28 [INFO    ] SQLAgent: Creating tool node with fallback with error handling
2025-08-03 17:12:28 [INFO    ] SQLAgent: Get schema tool node added.
2025-08-03 17:12:28 [INFO    ] SQLAgent: Model get schema node added.
2025-08-03 17:12:28 [INFO    ] SQLAgent: Query generation node added.
2025-08-03 17:12:28 [INFO    ] SQLAgent: Model check query node added.
2025-08-03 17:12:28 [INFO    ] SQLAgent: Creating tool node with fallback with error handling
2025-08-03 17:12:28 [INFO    ] SQLAgent: Execute query node added.
2025-08-03 17:12:28 [INFO    ] SQLAgent: Adding edges to the workflow...
2025-08-03 17:12:28 [INFO    ] SQLAgent: Edge: START → first_tool_call
2025-08-03 17:12:28 [INFO    ] SQLAgent: Edge: first_tool_call → list_tables_tool
2025-08-03 17:12:28 [INFO    ] SQLAgent: Edge: List tables tool -> model get schema edge added.
2025-08-03 17:12:28 [INFO    ] SQLAgent: Edge: model get schema -> get schema tool edge added.
2025-08-03 17:12:28 [INFO    ] SQLAgent: Edge: Get schema tool -> query generation edge added.
2025-08-03 17:12:28 [INFO    ] SQLAgent: Edge: Conditional edges for query generation added.
2025-08-03 17:12:28 [INFO    ] SQLAgent: Edge: Correct query -> execute query edge added.
2025-08-03 17:12:28 [INFO    ] SQLAgent: Edge: Execute query -> query generation edge added.
2025-08-03 17:12:28 [INFO    ] SQLAgent: Compiling the workflow !!!!
2025-08-03 17:12:28 [INFO    ] SQLAgent: Workflow compiled successfully !!!!
2025-08-03 17:12:28 [INFO    ] SQLAgent: Setup completed!
2025-08-03 17:12:28 [INFO    ] SQLAgent: Received query: How many users are there in the database? What are their names and ages?
2025-08-03 17:12:28 [INFO    ] SQLAgent: Executing first tool call to list database tables.
2025-08-03 17:12:28 [INFO    ] SQLAgent: Retrieving database schema information.
2025-08-03 17:12:31 [INFO    ] SQLAgent: Current messages from model get schema: content='' additional_kwargs={'tool_calls': [{'id': 'k6gsa65vh', 'function': {'arguments': '{"table_names":"users"}', 'name': 'sql_db_schema'}, 'type': 'function'}]} response_metadata={'token_usage': {'completion_tokens': 17, 'prompt_tokens': 372, 'total_tokens': 389, 'completion_time': 0.025664689, 'prompt_time': 0.058992415, 'queue_time': 1.934215385, 'total_time': 0.084657104}, 'model_name': 'llama-3.1-8b-instant', 'system_fingerprint': 'fp_510c177af0', 'service_tier': 'on_demand', 'finish_reason': 'tool_calls', 'logprobs': None} id='run--381e12fe-5fab-4044-94e1-a4ebf23c200d-0' tool_calls=[{'name': 'sql_db_schema', 'args': {'table_names': 'users'}, 'id': 'k6gsa65vh', 'type': 'tool_call'}] usage_metadata={'input_tokens': 372, 'output_tokens': 17, 'total_tokens': 389}
2025-08-03 17:12:31 [INFO    ] SQLAgent: Invoking get schema tool...
2025-08-03 17:12:31 [INFO    ] SQLAgent: Generating SQL query from user question.
2025-08-03 17:12:31 [INFO    ] SQLAgent: Generated message in query gen node: content='SELECT COUNT(id), name, age FROM users;' additional_kwargs={} response_metadata={'token_usage': {'completion_tokens': 11, 'prompt_tokens': 463, 'total_tokens': 474, 'completion_time': 0.021828158, 'prompt_time': 0.037630919, 'queue_time': 0.068019741, 'total_time': 0.059459077}, 'model_name': 'llama-3.1-8b-instant', 'system_fingerprint': 'fp_510c177af0', 'service_tier': 'on_demand', 'finish_reason': 'stop', 'logprobs': None} id='run--f190082b-1a04-49a0-b3da-5998cf17564d-0' usage_metadata={'input_tokens': 463, 'output_tokens': 11, 'total_tokens': 474}
2025-08-03 17:12:31 [INFO    ] SQLAgent: Determining next step based on current state.
2025-08-03 17:12:31 [INFO    ] SQLAgent: Last message content in should continue: SELECT COUNT(id), name, age FROM users;
2025-08-03 17:12:31 [INFO    ] SQLAgent: No specific instruction found, correcting query.
2025-08-03 17:12:31 [INFO    ] SQLAgent: Checking the SQL query for correctness.
2025-08-03 17:12:31 [INFO    ] SQLAgent: Executing query check...
2025-08-03 17:12:31 [INFO    ] SQLAgent: Current messages in model query check: content='SELECT COUNT(id), name, age FROM users;' additional_kwargs={} response_metadata={'token_usage': {'completion_tokens': 11, 'prompt_tokens': 463, 'total_tokens': 474, 'completion_time': 0.021828158, 'prompt_time': 0.037630919, 'queue_time': 0.068019741, 'total_time': 0.059459077}, 'model_name': 'llama-3.1-8b-instant', 'system_fingerprint': 'fp_510c177af0', 'service_tier': 'on_demand', 'finish_reason': 'stop', 'logprobs': None} id='run--f190082b-1a04-49a0-b3da-5998cf17564d-0' usage_metadata={'input_tokens': 463, 'output_tokens': 11, 'total_tokens': 474}
2025-08-03 17:12:31 [INFO    ] SQLAgent: Executing query: SELECT COUNT(id), name, age FROM users;
2025-08-03 17:12:31 [INFO    ] SQLAgent: Generating SQL query from user question.
2025-08-03 17:12:32 [INFO    ] SQLAgent: Generated message in query gen node: content='Answer: There are 3 users in the database. The users are Alice, Bob, and Charlie, with ages 30, 25, and 35 respectively.' additional_kwargs={} response_metadata={'token_usage': {'completion_tokens': 35, 'prompt_tokens': 520, 'total_tokens': 555, 'completion_time': 0.043478241, 'prompt_time': 0.613408976, 'queue_time': 0.07678568399999997, 'total_time': 0.656887217}, 'model_name': 'llama-3.1-8b-instant', 'system_fingerprint': 'fp_510c177af0', 'service_tier': 'on_demand', 'finish_reason': 'stop', 'logprobs': None} id='run--2cd6bbc7-9203-41a4-aa4b-20c8d8ce702c-0' usage_metadata={'input_tokens': 520, 'output_tokens': 35, 'total_tokens': 555}
2025-08-03 17:12:32 [INFO    ] SQLAgent: Determining next step based on current state.
2025-08-03 17:12:32 [INFO    ] SQLAgent: Last message content in should continue: Answer: There are 3 users in the database. The users are Alice, Bob, and Charlie, with ages 30, 25, and 35 respectively.
2025-08-03 17:12:32 [INFO    ] SQLAgent: Answer found in last message, ending workflow.
2025-08-03 17:12:32 [INFO    ] SQLAgent: Extracting final SQL query from messages...
2025-08-03 17:12:32 [INFO    ] SQLAgent: Final SQL query extracted: SELECT COUNT(id), name, age FROM users;
2025-08-03 17:12:32 [INFO    ] SQLAgent: Last message content: Answer: There are 3 users in the database. The users are Alice, Bob, and Charlie, with ages 30, 25, and 35 respectively.
2025-08-03 17:12:32 [INFO    ] SQLAgent: Result extracted: {'sql_query': 'SELECT COUNT(id), name, age FROM users;', 'answer': 'There are 3 users in the database. The users are Alice, Bob, and Charlie, with ages 30, 25, and 35 respectively.'}
2025-08-03 17:12:52 [INFO    ] SQLAgent: Initializing sql Agent!!!
2025-08-03 17:12:52 [INFO    ] SQLAgent: Database connection established: sqlite:///test.db
2025-08-03 17:12:52 [INFO    ] SQLAgent: llm initialized: llama-3.1-8b-instant
2025-08-03 17:12:52 [INFO    ] SQLAgent: Setting up tools....
2025-08-03 17:12:52 [INFO    ] SQLAgent: SQLDatabaseToolkit initialized.
2025-08-03 17:12:52 [INFO    ] SQLAgent: Extracted 4 tools from the toolkit.
2025-08-03 17:12:52 [INFO    ] SQLAgent: List tables tool initialized.
2025-08-03 17:12:52 [INFO    ] SQLAgent: Get schema tool initialized.
2025-08-03 17:12:52 [INFO    ] SQLAgent: Setting up prompts for SQL Agent...
2025-08-03 17:12:52 [INFO    ] SQLAgent: Query generation prompt compelted.
2025-08-03 17:12:52 [INFO    ] SQLAgent: Setting up query checking prompt...
2025-08-03 17:12:52 [INFO    ] SQLAgent: Query checking prompt compelted.
2025-08-03 17:12:52 [INFO    ] SQLAgent: Building the LangGraph workflow...
2025-08-03 17:12:52 [INFO    ] SQLAgent: Adding nodes....
2025-08-03 17:12:52 [INFO    ] SQLAgent: First tool call node added!!
2025-08-03 17:12:52 [INFO    ] SQLAgent: Creating tool node with fallback with error handling
2025-08-03 17:12:52 [INFO    ] SQLAgent: List tables tool node added.
2025-08-03 17:12:52 [INFO    ] SQLAgent: Creating tool node with fallback with error handling
2025-08-03 17:12:52 [INFO    ] SQLAgent: Get schema tool node added.
2025-08-03 17:12:52 [INFO    ] SQLAgent: Model get schema node added.
2025-08-03 17:12:53 [INFO    ] SQLAgent: Query generation node added.
2025-08-03 17:12:53 [INFO    ] SQLAgent: Model check query node added.
2025-08-03 17:12:53 [INFO    ] SQLAgent: Creating tool node with fallback with error handling
2025-08-03 17:12:53 [INFO    ] SQLAgent: Execute query node added.
2025-08-03 17:12:53 [INFO    ] SQLAgent: Adding edges to the workflow...
2025-08-03 17:12:53 [INFO    ] SQLAgent: Edge: START → first_tool_call
2025-08-03 17:12:53 [INFO    ] SQLAgent: Edge: first_tool_call → list_tables_tool
2025-08-03 17:12:53 [INFO    ] SQLAgent: Edge: List tables tool -> model get schema edge added.
2025-08-03 17:12:53 [INFO    ] SQLAgent: Edge: model get schema -> get schema tool edge added.
2025-08-03 17:12:53 [INFO    ] SQLAgent: Edge: Get schema tool -> query generation edge added.
2025-08-03 17:12:53 [INFO    ] SQLAgent: Edge: Conditional edges for query generation added.
2025-08-03 17:12:53 [INFO    ] SQLAgent: Edge: Correct query -> execute query edge added.
2025-08-03 17:12:53 [INFO    ] SQLAgent: Edge: Execute query -> query generation edge added.
2025-08-03 17:12:53 [INFO    ] SQLAgent: Compiling the workflow !!!!
2025-08-03 17:12:53 [INFO    ] SQLAgent: Workflow compiled successfully !!!!
2025-08-03 17:12:53 [INFO    ] SQLAgent: Setup completed!
2025-08-03 17:12:53 [INFO    ] SQLAgent: Received query: Who is ALice
2025-08-03 17:12:53 [INFO    ] SQLAgent: Executing first tool call to list database tables.
2025-08-03 17:12:53 [INFO    ] SQLAgent: Retrieving database schema information.
2025-08-03 17:13:36 [INFO    ] SQLAgent: Initializing sql Agent!!!
2025-08-03 17:13:36 [INFO    ] SQLAgent: Database connection established: sqlite:///test.db
2025-08-03 17:13:36 [INFO    ] SQLAgent: llm initialized: llama-3.1-8b-instant
2025-08-03 17:13:36 [INFO    ] SQLAgent: Setting up tools....
2025-08-03 17:13:36 [INFO    ] SQLAgent: SQLDatabaseToolkit initialized.
2025-08-03 17:13:36 [INFO    ] SQLAgent: Extracted 4 tools from the toolkit.
2025-08-03 17:13:36 [INFO    ] SQLAgent: List tables tool initialized.
2025-08-03 17:13:36 [INFO    ] SQLAgent: Get schema tool initialized.
2025-08-03 17:13:36 [INFO    ] SQLAgent: Setting up prompts for SQL Agent...
2025-08-03 17:13:36 [INFO    ] SQLAgent: Query generation prompt compelted.
2025-08-03 17:13:36 [INFO    ] SQLAgent: Setting up query checking prompt...
2025-08-03 17:13:36 [INFO    ] SQLAgent: Query checking prompt compelted.
2025-08-03 17:13:36 [INFO    ] SQLAgent: Building the LangGraph workflow...
2025-08-03 17:13:36 [INFO    ] SQLAgent: Adding nodes....
2025-08-03 17:13:36 [INFO    ] SQLAgent: First tool call node added!!
2025-08-03 17:13:36 [INFO    ] SQLAgent: Creating tool node with fallback with error handling
2025-08-03 17:13:36 [INFO    ] SQLAgent: List tables tool node added.
2025-08-03 17:13:36 [INFO    ] SQLAgent: Creating tool node with fallback with error handling
2025-08-03 17:13:36 [INFO    ] SQLAgent: Get schema tool node added.
2025-08-03 17:13:36 [INFO    ] SQLAgent: Model get schema node added.
2025-08-03 17:13:36 [INFO    ] SQLAgent: Query generation node added.
2025-08-03 17:13:36 [INFO    ] SQLAgent: Model check query node added.
2025-08-03 17:13:36 [INFO    ] SQLAgent: Creating tool node with fallback with error handling
2025-08-03 17:13:36 [INFO    ] SQLAgent: Execute query node added.
2025-08-03 17:13:36 [INFO    ] SQLAgent: Adding edges to the workflow...
2025-08-03 17:13:36 [INFO    ] SQLAgent: Edge: START → first_tool_call
2025-08-03 17:13:36 [INFO    ] SQLAgent: Edge: first_tool_call → list_tables_tool
2025-08-03 17:13:36 [INFO    ] SQLAgent: Edge: List tables tool -> model get schema edge added.
2025-08-03 17:13:36 [INFO    ] SQLAgent: Edge: model get schema -> get schema tool edge added.
2025-08-03 17:13:36 [INFO    ] SQLAgent: Edge: Get schema tool -> query generation edge added.
2025-08-03 17:13:36 [INFO    ] SQLAgent: Edge: Conditional edges for query generation added.
2025-08-03 17:13:36 [INFO    ] SQLAgent: Edge: Correct query -> execute query edge added.
2025-08-03 17:13:36 [INFO    ] SQLAgent: Edge: Execute query -> query generation edge added.
2025-08-03 17:13:36 [INFO    ] SQLAgent: Compiling the workflow !!!!
2025-08-03 17:13:36 [INFO    ] SQLAgent: Workflow compiled successfully !!!!
2025-08-03 17:13:36 [INFO    ] SQLAgent: Setup completed!
2025-08-03 17:13:36 [INFO    ] SQLAgent: Received query: Who is ALice?
2025-08-03 17:13:36 [INFO    ] SQLAgent: Executing first tool call to list database tables.
2025-08-03 17:13:36 [INFO    ] SQLAgent: Retrieving database schema information.
2025-08-03 17:14:00 [INFO    ] SQLAgent: Initializing sql Agent!!!
2025-08-03 17:14:00 [INFO    ] SQLAgent: Database connection established: sqlite:///test.db
2025-08-03 17:14:00 [INFO    ] SQLAgent: llm initialized: llama-3.1-8b-instant
2025-08-03 17:14:00 [INFO    ] SQLAgent: Setting up tools....
2025-08-03 17:14:00 [INFO    ] SQLAgent: SQLDatabaseToolkit initialized.
2025-08-03 17:14:00 [INFO    ] SQLAgent: Extracted 4 tools from the toolkit.
2025-08-03 17:14:00 [INFO    ] SQLAgent: List tables tool initialized.
2025-08-03 17:14:00 [INFO    ] SQLAgent: Get schema tool initialized.
2025-08-03 17:14:00 [INFO    ] SQLAgent: Setting up prompts for SQL Agent...
2025-08-03 17:14:00 [INFO    ] SQLAgent: Query generation prompt compelted.
2025-08-03 17:14:00 [INFO    ] SQLAgent: Setting up query checking prompt...
2025-08-03 17:14:00 [INFO    ] SQLAgent: Query checking prompt compelted.
2025-08-03 17:14:00 [INFO    ] SQLAgent: Building the LangGraph workflow...
2025-08-03 17:14:00 [INFO    ] SQLAgent: Adding nodes....
2025-08-03 17:14:00 [INFO    ] SQLAgent: First tool call node added!!
2025-08-03 17:14:00 [INFO    ] SQLAgent: Creating tool node with fallback with error handling
2025-08-03 17:14:00 [INFO    ] SQLAgent: List tables tool node added.
2025-08-03 17:14:00 [INFO    ] SQLAgent: Creating tool node with fallback with error handling
2025-08-03 17:14:00 [INFO    ] SQLAgent: Get schema tool node added.
2025-08-03 17:14:00 [INFO    ] SQLAgent: Model get schema node added.
2025-08-03 17:14:00 [INFO    ] SQLAgent: Query generation node added.
2025-08-03 17:14:00 [INFO    ] SQLAgent: Model check query node added.
2025-08-03 17:14:00 [INFO    ] SQLAgent: Creating tool node with fallback with error handling
2025-08-03 17:14:00 [INFO    ] SQLAgent: Execute query node added.
2025-08-03 17:14:00 [INFO    ] SQLAgent: Adding edges to the workflow...
2025-08-03 17:14:00 [INFO    ] SQLAgent: Edge: START → first_tool_call
2025-08-03 17:14:00 [INFO    ] SQLAgent: Edge: first_tool_call → list_tables_tool
2025-08-03 17:14:00 [INFO    ] SQLAgent: Edge: List tables tool -> model get schema edge added.
2025-08-03 17:14:00 [INFO    ] SQLAgent: Edge: model get schema -> get schema tool edge added.
2025-08-03 17:14:00 [INFO    ] SQLAgent: Edge: Get schema tool -> query generation edge added.
